location,date,variant,num_sequences,perc_sequences,num_sequences_total
Sweden,2021-01-04,B.1.621,0,0.0,531
Sweden,2021-01-04,S:677P.Pelican,,,531
Sweden,2021-01-04,S:677H.Robin1,,,531
Sweden,2021-01-04,others,55,10.36,531
Sweden,2021-01-04,non_who,489,92.09,531
Sweden,2021-01-11,B.1.160,30,10.45,287
Sweden,2021-01-11,B.1.620,0,0.0,287
Sweden,2021-01-11,B.1.258,105,36.59,287
Sweden,2021-01-11,B.1.221,2,0.7,287
Sweden,2021-01-11,B.1.1.302,0,0.0,287
Sweden,2021-01-11,B.1.1.277,0,0.0,287
Sweden,2021-01-11,B.1.1.519,1,0.35,287
Sweden,2021-01-11,B.1.367,0,0.0,287
Sweden,2021-01-11,B.1.177,69,24.04,287
Sweden,2021-01-11,Beta,1,0.35,287
Sweden,2021-01-11,Alpha,58,20.21,287
Sweden,2021-01-11,Gamma,0,0.0,287
Sweden,2021-01-11,Delta,0,0.0,287
Sweden,2021-01-11,Kappa,0,0.0,287
Sweden,2021-01-11,Epsilon,0,0.0,287
Sweden,2021-01-11,Eta,0,0.0,287
Sweden,2021-01-11,Iota,0,0.0,287
Sweden,2021-01-11,Lambda,0,0.0,287
Sweden,2021-01-11,B.1.621,0,0.0,287
Sweden,2021-01-11,S:677P.Pelican,,,287
Sweden,2021-01-11,S:677H.Robin1,,,287
Sweden,2021-01-11,others,21,7.31,287
Sweden,2021-01-11,non_who,228,79.44,287
Sweden,2021-01-25,B.1.160,211,10.0,2111
Sweden,2021-01-25,B.1.620,0,0.0,2111
Sweden,2021-01-25,B.1.258,279,13.22,2111
Sweden,2021-01-25,B.1.221,208,9.85,2111
Sweden,2021-01-25,B.1.1.302,36,1.71,2111
Sweden,2021-01-25,B.1.1.277,1,0.05,2111
Sweden,2021-01-25,B.1.1.519,0,0.0,2111
Sweden,2021-01-25,B.1.367,0,0.0,2111
Sweden,2021-01-25,B.1.177,964,45.67,2111
Sweden,2021-01-25,Beta,10,0.47,2111
Sweden,2021-01-25,Alpha,196,9.28,2111
Sweden,2021-01-25,Gamma,0,0.0,2111
Sweden,2021-01-25,Delta,0,0.0,2111
Sweden,2021-01-25,Kappa,0,0.0,2111
Sweden,2021-01-25,Epsilon,1,0.05,2111
Sweden,2021-01-25,Eta,0,0.0,2111
Sweden,2021-01-25,Iota,0,0.0,2111
Sweden,2021-01-25,Lambda,0,0.0,2111
Sweden,2021-01-25,B.1.621,0,0.0,2111
Sweden,2021-01-25,S:677P.Pelican,,,2111
Sweden,2021-01-25,S:677H.Robin1,,,2111
Sweden,2021-01-25,others,205,9.7,2111
Sweden,2021-01-25,non_who,1904,90.2,2111
Sweden,2021-02-08,B.1.160,492,9.32,5281
Sweden,2021-02-08,B.1.620,0,0.0,5281
Sweden,2021-02-08,B.1.258,482,9.13,5281
Sweden,2021-02-08,B.1.221,437,8.27,5281
